,Unnamed: 0,Volume,Last,Chg,% Chg
53,Nu Holdings Ltd. Cl A (NU),126.7K,10.9,-0.02,-0.18
54,Warner Bros. Discovery Inc. Series A (WBD),158.0K,11.01,-0.02,-0.18
55,LexinFintech Holdings Ltd. ADR (LX),132.2K,10.82,-0.02,-0.18
56,AstraZeneca PLC ADR (AZN),72.3K,72.57,-0.15,-0.21
57,Intel Corp. (INTC),480.3K,23.36,-0.06,-0.26
58,Amazon.com Inc. (AMZN),524.7K,200.59,-0.54,-0.27
59,Trade Desk Inc. Cl A (TTD),92.6K,58.64,-0.17,-0.28
60,Golden Ocean Group Ltd. (GOGL),194.8K,7.97,-0.03,-0.33
61,Amphenol Corp. Cl A (APH),89.7K,67.36,-0.23,-0.33
62,Viatris Inc. (VTRS),52.6K,8.93,-0.03,-0.33
63,Coinbase Global Inc. (COIN),51.5K,193.26,-0.69,-0.36
64,Huntington Bancshares Inc. (HBAN),74.1K,15.2,-0.06,-0.36
65,CSX Corp. (CSX),97.9K,29.79,-0.11,-0.37
66,Ford Motor Co. (F),265.5K,10.26,-0.04,-0.39
67,VNET Group Inc. ADR (VNET),109.2K,8.86,-0.04,-0.45
68,Tempus AI Inc. (TEM),95.6K,53.0,-0.25,-0.47
69,Prospect Capital Corp. (PSEC),168.2K,4.16,-0.02,-0.48
70,Energy Fuels Inc. (UUUU),64.7K,4.11,-0.02,-0.48
71,Palantir Technologies Inc. (PLTR),767.2K,91.81,-0.47,-0.51
72,AGNC Investment Corp. (AGNC),315.8K,9.7,-0.06,-0.56
73,Iovance Biotherapeutics Inc. (IOVA),52.1K,3.42,-0.02,-0.58
74,Lam Research Corp. (LRCX),89.2K,75.69,-0.45,-0.58
75,Newell Brands Inc. (NWL),50.1K,6.45,-0.04,-0.62
76,Avnet Inc. (AVT),57.4K,48.21,-0.3,-0.62
77,Qualcomm Inc. (QCOM),108.1K,157.34,-1.05,-0.66
78,Cemex S.A.B. de C.V. ADR (CX),58.7K,5.95,-0.04,-0.67
79,Comcast Corp. Cl A (CMCSA),311.6K,37.11,-0.26,-0.7
80,Applied Materials Inc. (AMAT),54.6K,149.56,-1.12,-0.74
81,AST SpaceMobile Inc. (ASTS),114.4K,27.08,-0.2,-0.75
82,Marvell Technology Inc. (MRVL),180.4K,66.23,-0.53,-0.8
83,Western Digital Corp. (WDC),76.0K,42.28,-0.34,-0.81
84,Host Hotels & Resorts Inc. (HST),50.5K,14.69,-0.12,-0.81
85,SEALSQ Corp. (LAES),66.2K,2.9,-0.03,-0.85
86,Hims & Hers Health Inc. (HIMS),76.9K,33.06,-0.3,-0.9
87,Broadcom Inc. (AVGO),460.5K,177.66,-1.61,-0.9
88,PDD Holdings Inc. ADR (PDD),151.9K,121.35,-1.12,-0.91
89,Arm Holdings PLC ADR (ARM),64.1K,113.86,-1.07,-0.93
90,Serve Robotics Inc. (SERV),64.0K,6.96,-0.07,-1.0
91,Micron Technology Inc. (MU),221.6K,91.2,-0.94,-1.01
92,Patterson-UTI Energy Inc. (PTEN),66.6K,8.48,-0.09,-1.05
93,Archer Aviation Inc. (ACHR),126.0K,8.04,-0.09,-1.08
94,AppLovin Corp. (APP),96.9K,323.97,-3.65,-1.11
95,Nasdaq Inc. (NDAQ),51.6K,76.64,-0.89,-1.15
96,Telefon AB L.M. Ericsson ADR (ERIC),97.9K,8.0,-0.09,-1.15
97,MicroStrategy Inc. (MSTR),118.2K,325.48,-3.83,-1.16
98,DraftKings Inc. Cl A (DKNG),67.9K,37.24,-0.44,-1.18
99,Affirm Holdings Inc. Cl A (AFRM),50.4K,47.75,-0.57,-1.18
